company;E1-1;E1-2;E1-3;E1-4;E1-5;E1-6;E1-7;E1-8;E1-9;E2-1;E2-2;E2-3;E2-4;E2-5;E3-1;E3-2;E3-3;E3-4;E3-5;E4-1;E4-2;E4-3;E4-4;E4-5;E4-6;E5-1;E5-2;E5-3;E5-4;E5-5;E5-6;S1-1;S1-2;S1-3;S1-4;S1-5;S1-6;S1-7;S1-8;S1-9;S1-10;S1-11;S1-12;S1-13;S1-14;S1-15;S1-16;S1-17;S2-1;S2-2;S2-3;S2-4;S2-5;S3-1;S3-2;S3-3;S3-4;S3-5;S4-1;S4-2;S4-3;S4-4;S4-5;G1-1;G1-2;G1-3;G1-4;G1-5;G1-6;total_assets;total_debt;current_assets;current_liabilities;net_income;revenue;shares_out;close_price;mkt_cap;ln_assets;roa;leverage;current_ratio;ln_mcap;industry;sector;country
valeo_2024-universal-registration-document;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;21658000000.0;7037000000.0;8875000000.0;10987000000.0;162000000.0;21492000000.0;244223008;8.941.974.639.892.570;2.183.835.944.014.280;237.986.407.381.526;0.0074799150429402;0.3249145812171022;0.8077728224265041;21.504.348.774.798.000;Auto Parts;Consumer Discretionary;France
adidas;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;20655000000.0;5587000000.0;11904000000.0;9593000000.0;764000000.0;23683000000.0;178548992;239.5;42762483584.0;2.375.122.325.779.510;0.0369886226095376;0.2704914064391188;12.409.048.264.359.400;2.447.892.700.336.230;Footwear & Accessories;Consumer Discretionary;Germany
aixtron group;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1018387000.0;5022000.0;671334000.0;162885000.0;106283000.0;633159000.0;112672000;14.918.587.684.631.300;16.809.071.116.027.800;2.074.148.584.000.420;0.1043640580643704;0.0049313276779848;4.121.521.318.721.790;2.124.259.943.202.500;Semiconductor Equipment & Materials;Information Technology;Germany
millennium;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;102143602000.0;6183546000.0;;;906378000.0;3726865000.0;14952599552;0.4722000062465668;7.060.617.601.856.810;25.349.645.522.866.200;0.0088735660604567;0.0605377711273585;134.354.357.434.543.000.000;2.267.779.836.364.200;Banks - Regional;Financials;Portugal
barclay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1518202000000.0;185746000000.0;;;6307000000.0;26230000000.0;14195399680;2.727.514.038.085.930;3.871.815.190.344.060;28.048.547.855.877.700;0.004154256153002;0.1223460382742217;144.534.645.767.567.000.000;28.984.744.554.437.200;Banks - Diversified;Financials;United Kingdom
atenor;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1145777000.0;724133000.0;921661000.0;465907000.0;-39395000.0;333037000.0;60716400;3.470.000.028.610.220;2.106.859.097.371.100;2.085.934.884.642.600;-0.0343827812916475;0.6320016896830709;1.978.208.097.324.140;19.165.879.002.960.200;Real Estate - Development;Real Estate;Belgium
wolters_kluwer_2024_annual_report;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;9498000000.0;4068000000.0;2657000000.0;3784000000.0;1079000000.0;5916000000.0;231668992;1.576.621.551.513.670;3.652.543.256.046.480;2.297.434.708.707.330;0.1136028637607917;0.4283006948831332;0.7021670190274841;2.432.127.463.737.310;Specialty Business Services;Industrials;Netherlands
acciona;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;34620000000.0;12556000000.0;14238000000.0;14242000000.0;422000000.0;19190000000.0;54440900;1.129.000.015.258.780;6.146.377.693.070.220;2.426.769.738.669.440;0.0121894858463316;0.3626805314846909;13.456.565.466.566.300;2.253.912.875.224.360;Engineering & Construction;Industrials;Spain
umg_2024_annual_report;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;1897000000.0;;;2086000000.0;11834000000.0;1829709952;2.397.437.858.581.540;4.386.615.909.148.210;23.343.455.476.546.700;0.0232423434;0.213455324343434;12.435.464.646.453.600;24.504.408.996.239.700;Entertainment;Communication Services;Netherlands
m6;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;2058900000.0;104000000.0;1122100000.0;534100000.0;172800000.0;1311200000.0;125803000;104.870.023.727.417;1.319.296.359.498.020;2.144.543.769.654.690;0.0839283112341541;0.0505124095390742;21.009.174.311.926.600;21.000.364.370.430.800;Broadcasting;Communication Services;France
