company,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap
banca generali s.p.a,16821985000.0,449296000.0,,,431225000.0,1137309000.0,113949000,43.4317626953125,4949005927.368164,23.545952498796805,0.025634608519743658,0.02670885748620035,,22.322452570605513
aalberts annual report,4230000000.0,686600000.0,1387900000.0,1007200000.0,179100000.0,3148600000.0,108740000,33.40211868286133,3632146385.574341,22.165467830004598,0.042340425531914895,0.16231678486997636,1.3779785544082606,22.013089601271478
altri,1322395943.0,583417019.0,527973447.0,340827300.0,107204025.0,837898381.0,205132000,5.215580940246582,1069882549.4346619,21.002711036559546,0.08106802321005004,0.4411817973945493,1.5490937697772449,20.790814712511906
ariston,3566500000.0,901400000.0,1276500000.0,950400000.0,2500000.0,2680200000.0,121089000,3.6519999504089355,442217021.9950676,21.994850559682366,0.0007009673349221927,0.2527407822795458,1.3431186868686869,19.90731131952976
wordline_urd_2024,19424500000.0,4030300000.0,7189000000.0,6820300000.0,-297000000.0,4631900000.0,282063008,8.284000396728516,2336610070.1744385,23.689800992843104,-0.01528996885376715,0.20748539215938633,1.0540592056067914,21.571967027993423
aktia,11904257000.0,4155311000.0,,,75896000.0,308635000.0,73214600,8.745545387268066,640301607.3106766,23.20016190418582,0.006375534399164938,0.3490609283720941,,20.277449884732135
asml,48589600000.0,4687600000.0,30737400000.0,20051400000.0,7571600000.0,28262900000.0,393200000,743.8627319335938,292486826196.28906,24.606675353183807,0.1558275845036798,0.09647331939345045,1.532930368951794,26.401685463958888
airbus,129213000000.0,11275000000.0,69432000000.0,60623000000.0,4232000000.0,69230000000.0,787329984,158.4701385498047,124768291648.89551,25.58472804242819,0.03275212246445791,0.0872590219250385,1.1453078864457384,25.549724187273483
amundi,38302388000.0,2357012000.0,6020164000.0,23332192000.0,1305122000.0,6192802000.0,203458000,60.2448844909668,12257303708.763123,24.368778081058792,0.03407416790827768,0.06153694646923842,0.2580196494182801,23.22938781739147
aena,16975364000.0,4045595000.0,2803246000.0,2234385000.0,1934224000.0,5763531000.0,150000000,191.81005859375,28771508789.0625,23.555028953460237,0.11394300587604483,0.23832154644813508,1.254593993425484,24.082651456272156
valeo_2024-universal-registration-document,21658000000.0,7037000000.0,8875000000.0,10987000000.0,162000000.0,21492000000.0,244223008,8.941974639892578,2183835944.014282,23.7986407381526,0.007479915042940253,0.3249145812171022,0.8077728224265041,21.504348774798054
adidas,20655000000.0,5587000000.0,11904000000.0,9593000000.0,764000000.0,23683000000.0,178548992,239.5,42762483584.0,23.75122325779514,0.03698862260953764,0.27049140643911884,1.2409048264359428,24.47892700336231
aixtron group,1018387000.0,5022000.0,671334000.0,162885000.0,106283000.0,633159000.0,112672000,14.918587684631348,1680907111.6027832,20.741485840004238,0.10436405806437042,0.004931327677984891,4.121521318721798,21.242599432025052
millennium,102143602000.0,6183546000.0,,,906378000.0,3726865000.0,14952599552,0.4722000062465668,7060617601.856812,25.349645522866208,0.008873566060456728,0.060537771127358524,,22.67779836364204
barclay,1518202000000.0,185746000000.0,,,6307000000.0,26230000000.0,14195399680,272.75140380859375,3871815190344.0625,28.048547855877704,0.0041542561530020375,0.12234603827422175,,28.984744554437263
atenor,1145777000.0,724133000.0,921661000.0,465907000.0,-39395000.0,333037000.0,60716400,3.4700000286102295,210685909.73711014,20.859348846426055,-0.0343827812916475,0.6320016896830709,1.978208097324144,19.165879002960256
wolters_kluwer_2024_annual_report,9498000000.0,4068000000.0,2657000000.0,3784000000.0,1079000000.0,5916000000.0,231668992,157.6621551513672,36525432560.46484,22.97434708707334,0.11360286376079175,0.42830069488313327,0.7021670190274841,24.32127463737314
acciona,34620000000.0,12556000000.0,14238000000.0,14242000000.0,422000000.0,19190000000.0,54440900,112.9000015258789,6146377693.070221,24.267697386694476,0.0121894858463316,0.3626805314846909,0.9997191405701447,22.53912875224361
umg_2024_annual_report,,1897000000.0,,,2086000000.0,11834000000.0,1829709952,23.97437858581543,43866159091.48218,,,,,24.504408996239707
m6,2058900000.0,104000000.0,1122100000.0,534100000.0,172800000.0,1311200000.0,125803000,10.4870023727417,1319296359.498024,21.44543769654697,0.08392831123415416,0.050512409539074266,2.1009174311926606,21.000364370430827
akzo,14249000000.0,5368000000.0,5836000000.0,4730000000.0,542000000.0,10711000000.0,170900000,55.958213806152344,9563258739.471436,23.379952565760064,0.038037757035581446,0.37672819145203174,1.2338266384778012,22.981194378255594
ageas,98455000000.0,4749000000.0,,,1118000000.0,8479000000.0,191284000,45.7083854675293,8743282805.770874,25.312865427943546,0.01135544157229191,0.04823523437103245,,22.891551563158785
asr,138595000000.0,10692000000.0,,,882000000.0,20635000000.0,208902000,44.113704681396484,9215441135.353088,25.65482184801542,0.0063638659403297375,0.07714564017460947,,22.944146298366032
atea,21109000000.0,2199000000.0,13648000000.0,14581000000.0,775000000.0,34583000000.0,111431000,138.34803771972656,15416260191.14685,23.772965326770343,0.03671419773556303,0.10417357525226206,0.936012619161923,23.458688645909483
acea,12226070000.0,5534700000.0,2495569000.0,3368589000.0,331620000.0,4075988000.0,212548000,18.450000762939453,3921510762.161255,23.22683639403958,0.027124006324190847,0.4526965737968129,0.7408351092994723,22.089742815012375
upm-annual-report-2024,19096000000.0,3814000000.0,5035000000.0,2394000000.0,436000000.0,10339000000.0,527324000,26.079185485839844,13752180407.13501,23.67274472598294,0.022832006702974444,0.19972769166317553,2.1031746031746033,23.34446322355166
amadeus fire,330116000.0,71166000.0,58735000.0,98791000.0,32633000.0,436906000.0,5432160,73.94114685058594,401660140.2758789,19.61495466580934,0.09885313041476329,0.21557876625186298,0.5945379639845735,19.811116866813094
vpbli_gb2024_en,10635597000.0,204478000.0,,,18471000.0,330940000.0,5639540,74.71058654785156,421333341.2600708,23.087472419425055,0.0017367149206574863,0.019225813087878376,,19.858934862816426
aker,108402000000.0,38116000000.0,22264000000.0,10057000000.0,7197000000.0,12217000000.0,74288400,556.2949829101562,41326264208.42285,25.409112375966256,0.06639176398959429,0.35161712883526136,2.2137814457591727,24.44476407204094
baco sabadell,239597927000.0,32699076000.0,,,1826805000.0,6543842000.0,5225110016,1.8544707298278809,9689813584.80249,26.20222805123041,0.007624460790931634,0.1364747867789357,,22.994341024769554
alfen,362750000.0,49749000.0,251461000.0,150094000.0,-27014000.0,487643000.0,21738800,13.479999542236328,293039014.0487671,19.70922444972857,-0.07447002067539628,0.13714403859407306,1.67535677642011,19.495816311867227
aeroports,20179000000.0,10142000000.0,3787000000.0,4002000000.0,342000000.0,6158000000.0,98751696,108.6483383178711,10729207676.471558,23.727908296630158,0.01694831260221022,0.5026017146538481,0.9462768615692154,23.09623554896803
amadeus it group,11784300000.0,3375700000.0,2593900000.0,3036000000.0,1253000000.0,6141700000.0,436348000,67.67285919189453,29528916762.664795,23.190033974031156,0.10632791086445526,0.2864574051916533,0.8543807641633728,24.108635849424097
asm,5161920000.0,11672000.0,2415324000.0,1200232000.0,685734000.0,2932724000.0,49024700,596.999267578125,29267709993.237305,22.364574440253698,0.13284475543983634,0.0022611741367553157,2.012380939684994,24.099750697255626
abinbev,206637000000.0,72170000000.0,22999000000.0,33066000000.0,5855000000.0,59768000000.0,1716390016,46.725120544433594,80198530398.8623,26.054229467626286,0.028334712563577676,0.3492598131022034,0.6955482973447046,25.107771027447278
