company,E1-1,E1-2,E1-3,E1-4,E1-5,E1-6,E1-7,E1-8,E1-9,E2-1,E2-2,E2-3,E2-4,E2-5,E3-1,E3-2,E3-3,E3-4,E3-5,E4-1,E4-2,E4-3,E4-4,E4-5,E4-6,E5-1,E5-2,E5-3,E5-4,E5-5,E5-6,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,S1-12,S1-13,S1-14,S1-15,S1-16,S1-17,S2-1,S2-2,S2-3,S2-4,S2-5,S3-1,S3-2,S3-3,S3-4,S3-5,S4-1,S4-2,S4-3,S4-4,S4-5,G1-1,G1-2,G1-3,G1-4,G1-5,G1-6,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap,industry,country,sector
valeo_2024-universal-registration-document,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21658000000.0,7037000000.0,8875000000.0,10987000000.0,162000000.0,21492000000.0,244223008,8.941974639892578,2183835944.014282,23.7986407381526,0.0074799150429402,0.3249145812171022,0.8077728224265041,21.504348774798054,Auto Parts,France,Consumer Discretionary
adidas,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,20655000000.0,5587000000.0,11904000000.0,9593000000.0,764000000.0,23683000000.0,178548992,239.5,42762483584.0,23.75122325779514,0.0369886226095376,0.2704914064391188,1.2409048264359428,24.47892700336231,Footwear & Accessories,Germany,Consumer Discretionary
aixtron group,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018387000.0,5022000.0,671334000.0,162885000.0,106283000.0,633159000.0,112672000,14.918587684631348,1680907111.6027832,20.74148584000424,0.1043640580643704,0.0049313276779848,4.121521318721798,21.24259943202505,Semiconductor Equipment & Materials,Germany,Information Technology
millennium,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,102143602000.0,6183546000.0,,,906378000.0,3726865000.0,14952599552,0.4722000062465668,7060617601.856812,25.349645522866208,0.0088735660604567,0.0605377711273585,1.463493546886327,22.67779836364204,Banks - Regional,Portugal,Financials
barclay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1518202000000.0,185746000000.0,,,6307000000.0,26230000000.0,14195399680,272.7514038085937,3871815190344.063,28.048547855877704,0.004154256153002,0.1223460382742217,1.463493546886327,28.984744554437263,Banks - Diversified,United Kingdom,Financials
atenor,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1145777000.0,724133000.0,921661000.0,465907000.0,-39395000.0,333037000.0,60716400,3.470000028610229,210685909.7371101,20.85934884642605,-0.0343827812916475,0.6320016896830709,1.978208097324144,19.165879002960256,Real Estate - Development,Belgium,Real Estate
wolters_kluwer_2024_annual_report,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,9498000000.0,4068000000.0,2657000000.0,3784000000.0,1079000000.0,5916000000.0,231668992,157.6621551513672,36525432560.46484,22.97434708707334,0.1136028637607917,0.4283006948831332,0.7021670190274841,24.32127463737314,Specialty Business Services,Netherlands,Industrials
acciona,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34620000000.0,12556000000.0,14238000000.0,14242000000.0,422000000.0,19190000000.0,54440900,112.9000015258789,6146377693.070221,24.26769738669448,0.0121894858463316,0.3626805314846909,0.9997191405701448,22.53912875224361,Engineering & Construction,Spain,Industrials
umg_2024_annual_report,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1897000000.0,,,2086000000.0,11834000000.0,1829709952,23.97437858581543,43866159091.48218,23.827136826235968,0.0256193986396743,0.2172558891542051,1.463493546886327,24.504408996239707,Entertainment,Netherlands,Communication Services
m6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2058900000.0,104000000.0,1122100000.0,534100000.0,172800000.0,1311200000.0,125803000,10.4870023727417,1319296359.498024,21.44543769654697,0.0839283112341541,0.0505124095390742,2.1009174311926606,21.000364370430827,Broadcasting,France,Communication Services
